Story ID,Story Title,Owner,Story Points,Assignment coverage,Steps / definition of done
REC-1,"Define problem statement, KPIs, outputs, and scope note",Pranav,2,Task 1,"1. Frame RecoMart use case as personalized top-N recommendation for conversion/cross-sell.2. Define entities: users, items, interactions, transactions, product metadata, external scores.3. Define expected outputs: clean EDA dataset, transformed feature tables, trained model, inference interface.4. Finalize evaluation metrics: Precision@K, Recall@K, NDCG.5. Draft report section for problem formulation."
REC-2,Define source schemas and validation specification,Dheeraj,2,"Task 1, Task 4","1. Define schemas for clickstream CSV, transactions CSV, product metadata API, external enrichment API.2. Document mandatory/optional fields, data types, primary keys, timestamp formats, rating/value ranges.3. Define validation rules for nulls, duplicates, schema mismatch, invalid ranges, malformed timestamps.4. Publish schema contract for the team."
REC-3,Design curated data model and transformation blueprint,Aniketh,2,Task 6,"1. Design raw ? prepared ? transformed flow.2. Create SQL schema for users, items, interactions, item_features, user_features, recommendation_candidates.3. Define join keys, surrogate keys if needed, and transformation logic.4. Publish ER-style blueprint / schema note."
REC-4,"Define modelling protocol, evaluation plan, and inference contract",Naaz,2,"Task 1, Task 9","1. Choose minimum viable model strategy: collaborative filtering baseline, with optional content features if time permits.2. Define train/validation/test split logic.3. Freeze model input format and recommend(user_id, k) output contract.4. Define MLflow logging fields: params, metrics, artifacts, run name."
REC-5,Build batch ingestion for clickstream and transaction files,Pranav,4,"Task 2, Task 3",1. Create ingestion scripts for CSV/file-based sources.2. Add periodic execution support (manual scheduler hook or orchestrator callable).3. Implement retry/error handling for corrupt/missing files.4. Write success/failure logs with timestamps.5. Land outputs into partitioned raw storage.
REC-6,Build API ingestion for product catalog and external scores,Dheeraj,4,"Task 2, Task 3",1. Create REST API fetchers for product metadata and external popularity/sentiment source.2. Handle pagination/timeouts/retries.3. Persist raw JSON/CSV snapshots into partitioned storage.4. Log API response status and ingestion outcome.5. Preserve sample responses for documentation/demo.
REC-7,Finalize raw data lake layout and storage documentation,Pranav,2,Task 3,1. Define folder structure such as data/raw/source=<src>/dt=<date>/hr=<hour>/....2. Define file naming convention and audit fields.3. Write storage README/config note.4. Ensure all ingestion scripts land into this structure consistently.
REC-8,Set up MLflow tracking and experiment metadata conventions,Naaz,2,Task 9,"1. Initialize MLflow locally.2. Define artifact folders for model, metrics, plots, params, report snapshots.3. Run a dummy experiment to verify tracking.4. Document how training scripts should log runs."
REC-9,"Implement automated validation, profiling, and quarantine flow",Dheeraj,3,Task 4,"1. Code schema checks, duplicate checks, null checks, range checks, timestamp format checks.2. Generate validation summary report (CSV/HTML/PDF-ready).3. Route failed files/rows to quarantine folder.4. Publish DQ metrics required for final report."
REC-10,"Implement cleaning, preparation, and EDA outputs",Dheeraj,3,Task 5,"1. Handle missing interactions and malformed records.2. Encode categorical variables such as category/brand.3. Normalize numeric/time-derived variables.4. Produce EDA plots: interaction frequency, item popularity, sparsity, basic distribution charts.5. Export prepared dataset for downstream transformation/modeling."
REC-11,Build SQL transformations and engineered feature tables,Aniketh,4,Task 6,"1. Implement SQL/scripts for curated and transformed layers.2. Create features such as user activity frequency, average rating per user/item, recency features, co-occurrence/similarity candidates.3. Populate structured DB/warehouse tables.4. Write feature logic summary."
REC-12,"Train baseline recommender, evaluate, and expose inference stub",Naaz,5,Task 9,"1. Train at least one required recommendation model.2. Evaluate using Precision@K, Recall@K, NDCG.3. Log runs in MLflow with parameters/metrics/artifacts.4. Create simple inference interface or script for top-K recommendations.5. Produce model performance summary for the report."
REC-13,Implement feature store / metadata registry and retrieval demo,Aniketh,4,Task 7,"1. Build simple feature registry: feature name, source, transformation, version, entity, retrieval path.2. Support retrieval for training and inference by version/entity key.3. Demonstrate feature lookup through notebook/script.4. Document metadata clearly for submission."
REC-14,Set up data versioning and lineage workflow with DVC,Aniketh,2,Task 8,"1. Initialize DVC tracking for raw, prepared, and transformed datasets.2. Define dataset version naming and metadata conventions.3. Document lineage: source ? ingestion date ? validation ? transformation ? feature version.4. Capture repository structure screenshots/evidence."
REC-15,Build orchestration flow with logging and failure handling,Pranav,4,Task 10,"1. Create Prefect/Airflow DAG: ingestion ? validation ? preparation ? transformation ? feature store ? training.2. Use stub tasks first, then wire final modules.3. Add logging, task status, and failure visibility.4. Capture successful run logs/screenshots."
REC-16,"Compile final report, demo script/video plan, and submission package QA",Naaz,3,"Documentation, demo, final zip","1. Assemble evidence from all stories into final PDF sections.2. Build final demo sequence: architecture, ingestion, validation, feature flow, model, orchestration run.3. Create submission checklist for code, PDFs, logs, screenshots, video, zip.4. Run final QA against rubric."

